[2023-06-1915:09:54] [ ERROR] [GlobalExceptionHandler:19] Content type 'text/plain;charset=UTF-8' not supported
[2023-06-1915:10:18] [ ERROR] [GlobalExceptionHandler:19] Content type 'text/plain;charset=UTF-8' not supported
[2023-06-1915:10:39] [ ERROR] [GlobalExceptionHandler:19] Content type 'text/plain;charset=UTF-8' not supported
[2023-06-2320:37:23] [ ERROR] [GlobalExceptionHandler:19] Content type 'text/plain;charset=UTF-8' not supported
[2023-06-2320:42:11] [ ERROR] [GlobalExceptionHandler:19] Content type 'text/plain;charset=UTF-8' not supported
[2023-06-2320:42:30] [ ERROR] [GlobalExceptionHandler:19] Content type 'text/plain;charset=UTF-8' not supported
[2023-06-2320:42:32] [ ERROR] [GlobalExceptionHandler:19] Content type 'text/plain;charset=UTF-8' not supported
[2023-06-2320:43:00] [ ERROR] [GlobalExceptionHandler:19] Content type 'text/plain;charset=UTF-8' not supported
[2023-06-2320:43:07] [ ERROR] [GlobalExceptionHandler:19] Content type 'text/plain;charset=UTF-8' not supported
[2023-06-2320:43:28] [ ERROR] [GlobalExceptionHandler:19] Content type 'text/plain;charset=UTF-8' not supported
[2023-06-2320:44:15] [ ERROR] [GlobalExceptionHandler:19] Content type 'text/plain;charset=UTF-8' not supported
[2023-06-2320:47:06] [ ERROR] [GlobalExceptionHandler:19] Content type 'text/plain;charset=UTF-8' not supported
[2023-06-2320:49:08] [ ERROR] [GlobalExceptionHandler:19] Content type 'text/plain;charset=UTF-8' not supported
[2023-06-2320:51:08] [ ERROR] [GlobalExceptionHandler:19] Cannot construct instance of `com.example.FinalDesdeCero.entity.Domicilio` (no Creators, like default constructor, exist): cannot deserialize from Object value (no delegate- or property-based Creator)
 at [Source: UNKNOWN; line: -1, column: -1]
[2023-06-2320:53:03] [ ERROR] [GlobalExceptionHandler:19] Cannot construct instance of `com.example.FinalDesdeCero.entity.Domicilio` (no Creators, like default constructor, exist): cannot deserialize from Object value (no delegate- or property-based Creator)
 at [Source: UNKNOWN; line: -1, column: -1]
[2023-06-2320:59:41] [ ERROR] [GlobalExceptionHandler:19] not-null property references a null or transient value : com.example.FinalDesdeCero.entity.Domicilio.paciente; nested exception is org.hibernate.PropertyValueException: not-null property references a null or transient value : com.example.FinalDesdeCero.entity.Domicilio.paciente
[2023-06-2320:59:43] [ ERROR] [GlobalExceptionHandler:19] not-null property references a null or transient value : com.example.FinalDesdeCero.entity.Domicilio.paciente; nested exception is org.hibernate.PropertyValueException: not-null property references a null or transient value : com.example.FinalDesdeCero.entity.Domicilio.paciente
